idx,title,year,poster,status,tmdb_id
231,Funny People,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1201167.jpg,downloaded,20829
232,Death at a Funeral,2007,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0795368.jpg,downloaded,2196
233,Rang De Basanti,2006,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0405508.jpg,downloaded,7913
234,Little Fockers,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0970866.jpg,downloaded,39451
235,Bride Wars,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0901476.jpg,downloaded,10521
236,Couples Retreat,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1078940.jpg,downloaded,19899
237,The Boat That Rocked,2009,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1131729.jpg,downloaded,18947
238,The Switch,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0889573.jpg,downloaded,41210
239,Leap Year,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1216492.jpg,downloaded,25195
240,Dinner for Schmucks,2010,posters/movies_comedy_firstgenre_1996-2025_cap500/tt0427152.jpg,downloaded,38778
241,Meet the Spartans,2008,posters/movies_comedy_firstgenre_1996-2025_cap500/tt1073498.jpg,downloaded,7278
